Name,Average Rating,Users
car wash head office ngamwongwan,6,8221
automotive mechanic (chaiyaphruek branch),7,8222
business analyst and system analyst,8,8223
mechanic (ratchaphruek branch),9,8224
programmer (software developer) software system developer,7,8225
chief mechanic (ratchaphruek branch),7,8226
"building technician, electrical system maintenance work, sathorn area",8,8227
"marketing management officer, sales executive",9,8228
civil engineer construction,9,8229
draft drawing (structural work),7,8230
survey,7,8231
"accountant (head office, bangkok)",7,8232
director of operations,6,8233
business analytics manager,6,8234
navigator,5,8235
oil technician,5,8236
oil inspector,7,8237
sales and marketing administration,10,8238
"digital marketing , admin online",6,8239
motorcycle mechanic,7,8240
sales coordinator (sales support),8,8241
manual labor,7,8242
"assistant electrician, electrician",7,8243
project manager engineer level,7,8244
sales & marketing executive (b2b: software dev and software product),5,8245
product manager (wms),6,8246
sales executive (telesala),4,8247
"personal trainer (train + teach classes) ratchayothin, ratchada, ekkamai, pinklao, khae rai",7,8248
"personal trainer (training only) ratchayothin, ratchada, ekkamai, pinklao, khae rai",7,8249
accepting only female personal trainer. no need to end up late.,9,8250
(internship student) marketing (event) (allowance 200 baht per day),6,8251
(intern student) multimidia (200 baht allowance per day),7,8252
(only for women) personal trainer (all branches),9,8253
(internship student) receptionist (allowance 200 baht per day),8,8254
senior account executive (ae),8,8255
payroll specialist,7,8256
part time pilates,8,8257
truck driver (very urgent),7,8258
"(internship student) administration, accounting (allowance 200 baht per day)",7,8259
pc salesperson (booth),6,8260
salesperson (major ratchayothin branch) income 20k+com,9,8261
"salesperson (j avenue branch, thonglor) salary 20k+com",7,8262
general manager (fitness) (esplanade khae rai branch),6,8263
booth staff (event sales staff) income 20k + com,9,8264
part time group class (les mills),8,8265
"salesperson (esplanade branch, khae rai) income 20k+com",8,8266
product marketing (water heater drinking water filter  used water air purifier),9,8267
admin (data key),7,8268
telesale administrative officer,6,8269
sales technician (robotics for service),6,8270
technician administrative officer (bang son),7,8271
technician (bang son),8,8272
technician assistant (bang hide),7,8273
pc salesman,7,8274
it support (supervisor),7,8275
sales engineer (robotics for service ),5,8276
project sales staff (sale project),7,8277
executive secretary (bang son  bang sue),8,8278
10 wheel driver,8,8279
backhoe drive,8,8280
checker officer,7,8281
marketing communications manager,7,8282
head of product marketing department (auto parts),7,8283
"senior foreman (ajarn phon, khon kaen province)",8,8284
interior foreman supervisor,7,8285
sales export executive online and offline,7,8286
sales export executive,6,8287
senior civil engineer,6,8288
importexport officer (importexport),7,8289
"pc salesman, product promotion",5,8290
"sales officer ae (restaurant customer groups, restaurants, wholesale agents)",8,8291
"pc staff organized a tasting, cheering, selling products in bangkok",8,8292
hr specialist (recruitment and training),6,8293
"sales representative account executive moderntrade (lotus, big c, family mart, tops)",9,8294
maid (office),7,8295
head of inventory control,9,8296
online coordinator,7,8297
senior product sourcing officer,7,8298
online marketer,6,8299
salesperson (car parts) at vibhavadi 50,9,8300
head of purchasing and employment,7,8301
qaqc quality control officer,7,8302
production supervisor (foreman),6,8303
head of store and transportation department,8,8304
maintenance and storage staff,4,8305
project secretary urgent,8,8306
head of quantity control department / qs supervisor,6,8307
head of price estimation and volume control department,8,8308
internal audit officer (senior level),5,8309
business development and marketing administrative officer (i've done interior work),5,8310
"admin staff, technical support",5,8311
volume control officer and senior volume control officer,8,8312
draftsman (able to use autodesk revit program),7,8313
purchasing officers (construction) use the program (mango) for special consideration.,8,8314
thai kitchen staff,7,8315
business development and marketing manager,6,8316
cost and budget control officer,6,8317
marketing officer (can communicate in english),7,8318
pcb repair engineer (rat burana),7,8319
call center agent (rat burana),7,8320
notebook sales person,7,8321
call center (rama 3),7,8322
it analyst (bts ari),7,8323
call center (saturdaysunday off),7,8324
salesperson on the phone (telesale) (bang son  bang sue),7,8325
technician assistant chiang mai center,7,8326
"sales, northeastern region",6,8327
pr officer,7,8328
material warehouse officer (marketing department),7,8329
"prefab warehouse manager (lat lum kaew district, pathum thani province)",6,8330
technician staff (bang sue),6,8331
insurance card key,6,8332
transport driver (bang son center),7,8333
"foreign purchasing officer (lat lum kaew district, pathum thani province)",7,8334
general quality control staff,6,8335
project sales staff (power sales and lighting equipment) project sale,8,8336
chef of japanese cuisine at donki mall thonglor branch (staff level),6,8337
elderly care workers (caregiver),8,8338
head of personnel hr department,7,8339
daily qc,8,8340
ccr coordinator,9,8341
telasale,7,8342
maintenance technician electrical machinery and building electricity,7,8343
"assistant of a printing press, a technician, a 2nd hand mechanic",9,8344
cs customer relations officer,9,8345
car film technician,6,8346
sales&maketing administrator for autoessence the ultimate auto spa,8,8347
"wrap staff, glass coating, car polishing, car wash",7,8348
sale engineer manager,6,8349
graphic and multimedia officer,9,8350
"business development (ev charger business development officer) central, north, south, northeast",7,8351
photographer and editor,7,8352
sales and marketing representative (veterinary),7,8353
printer repair technician multifunction printer,9,8354
application developer programmer,5,8355
telesale car insurance (commission from the first baht),7,8356
finance department administrative officer,9,8357
"apprentice, printer repair technician photocopier repair technician (onsite)",9,8358
website developer or application developer,7,8359
administrative officer service coordinator,9,8360
sales coordinator administrative officer (tele sales),8,8361
cashier ratchada branch,6,8362
"sales & marketing, pinklao branch",9,8363
salesperson and store manager,6,8364
maid staff ( housekeeper ),9,8365
test engineer (welcome new graduates),9,8366
service engineertechnical advisor (overseas),7,8367
japanese restaurant manager udon type,8,8368
sales and marketing representative (bangkok),9,8369
sales and training,9,8370
"'office sales near bts nana, ploenchit earning 15,000+com have a teaching job",7,8371
sales and marketing representative central region,9,8372
sales executive (tel co),7,8373
rider coordinator,6,8374
r&d pet food,9,8375
financial officer pay,6,8376
technician at bnh hospital (bts saladaeng),6,8377
qc&qa manager (cosmetics manufacturing),6,8378
site manager(food section manager of thonburi bamrungmuang hospital),6,8379
technician at lat krabang industrial estate,6,8380
patient food waitress at thonburi bamrungmuang hospital,6,8381
inspector and quality control (vending machine qc),8,8382
qc supervisor (cosmetics),6,8383
technician at sukhumvit hospital (bts phra khanong),7,8384
nutritionist at thonburi bamrungmuang hospital,6,8385
warehouse management supervisor (night shift),7,8386
spare part support  warehouse,7,8387
messengerdelivery parts,6,8388
services engineer at the repair center (cold engineering),8,8389
sales support (forth vending  tao bin),6,8390
transportation planner (forth vending  tao bin),7,8391
sales odm cosmetics (business partner development),7,8392
"foreign exchange officers (fxo) at the booths in bangkok, along the bts line, receive urgently",8,8393
the staff approves the management fee for the forklift.,6,8394
reinsurance accountant,7,8395
call center (call back inbound),6,8396
"mobile phone salesperson at jaymart, robinson roi et branch",4,8397
"mobile phone salesperson at jaymart, jas green village branch",6,8398
"mobile phone salesperson at jaymart, robinson trang branch",5,8399
"mobile phone salesperson at jaymart, siam square branch",5,8400
"mobile phone salesperson at jaymart, bigc saphan khwai branch",6,8401
"mobile phone salesperson at jaymart, bts national stadium branch",4,8402
car insurance policy key officer,7,8403
"mobile phone salesperson at jaymart, lotus buengkan branch",4,8404
"mobile phone salesperson at jaymart, central world branch",5,8405
"mobile phone salesperson at jaymart store, central westgate branch",6,8406
"mobile phone salesperson at jaymart, ngamwongwan branch",5,8407
insurance premium management officer,7,8408
"mobile phone salesperson at jaymart shop, yasothon branch",6,8409
"mobile phone salesperson at jaymart, central rama 2 branch",6,8410
accident reporting officer and customer service (contract),7,8411
car appraiser,7,8412
"mobile phone salesperson at jaymart, central pinklao branch",6,8413
administrative officer (disabled person),7,8414
"mobile phone salesperson at jaymart store, surin branch",5,8415
"mobile phone salesperson at jaymart, seacon bang khae branch",6,8416
"mobile phone salesperson at jaymart, central ladprao branch",7,8417
"mobile sales staff at jaymart, bts on nut station branch",7,8418
"mobile phone salesperson at jaymart, robinson ladkrabang branch",7,8419
"mobile sales staff at jaymart, bts thonglor station branch",6,8420
foreign exchange officers (fxo) at suvarnabhumi airport get multiple rates,9,8421
"mobile phone salesperson at jaymart, the mall tha phra branch",6,8422
foreign exchange officer (fxo) at don mueang airport get multiple rates,9,8423
"mobile phone salesperson at jaymart, terminal 21 rama 3 branch",7,8424
"mobile phone sales person at samsung store, terminal 21 rama 3 branch",7,8425
"mobile phone salesperson at jaymart, central rama 3 branch",6,8426
"notebook salesperson at jaymart, central pinklao branch",7,8427
"mobile phone salesperson at jaymart, siam paragon branch",6,8428
"mobile phone salesperson at jaymart, bts chidlom station branch",7,8429
"mobile phone salesperson at jaymart, phayathai bts station branch",5,8430
"mobile sales staff at jaymart, bts ploenchit station branch.",5,8431
"mobile phone salesperson at jaymart, bts nana station branch",5,8432
"mobile sales staff at jaymart, bts phrom phong station branch",5,8433
"mobile phone salesperson at jaymart, bts siam station branch",7,8434
"mobile phone salesperson at jaymart, ics iconsiam branch (newly opened branch)",6,8435
oracle ebusiness suite  erp specialist,6,8436
"mobile phone salesperson at jaymart store, fashion island branch",7,8437
"mobile phone salesperson at jaymart shop, seacon srinakarin branch",7,8438
"mobile phone salesperson at jaymart, bigc on nut branch",5,8439
"mobile sales staff at jaymart, bts chong nonsi station branch",7,8440
"service advisor sa (rama 7, taling chan, dusit)",10,8441
2nd hand car appraiser (working at taling chan),9,8442
"telephone operator (dusit, taling chan, taling chan)",10,8443
"customer relations staff (dusit, rama 7, taling chan)",10,8444
"driver (driver) working at rama 7, dusit",10,8445
administration/coordinator,10,8446
automotive technician (taling chan),9,8447
urgent sale online (sales online),9,8448
service engineer (lower central region),5,8449
service engineer (central region),7,8450
production staff (daily),6,8451
industrial waste disposal business sales manager,6,8452
"sales executive (bulk transportation) for the central, northeastern and southern regions",6,8453
service engineer (upper northern region),6,8454
ship control officer,6,8455
sourcing manager (coal),5,8456
fuel management staff (daily staff for the tipak project),5,8457
610 wheel truck drivers in the northern region,9,8458
executive of waste fuel business department (rdf),5,8459
programmer erp,4,8460
it  service desk,6,8461
it application support (bangna),6,8462
daily packing staff warehouse worker at rama 3 (urgent),6,8463
staff recommend online channels (urgent),9,8464
service engineer (bangkok),8,8465
brand manager(fmcg),6,8466
pc product sorting staff at department stores across the country,9,8467
employees arrange pc products across the country.,8,8468
truck driver (driving 6  10 wheel trucks),9,8469
driver  service,9,8470
freight forwarding driver (pickup) at rama 3,9,8471
"registered sales representative (bangkok, krathum baen)",9,8472
"truck driver (tor. 2, huai khwang district)",9,8473
chonburi province mc,8,8474
merchandise staff  very urgent,7,8475
industrial sales representative (rama 3) urgently,9,8476
assistant manager of planning and management department (purchasing it department),6,8477
"nationwide credit sales staff north, central, northeast, south (very urgent)",9,8478
key account executive(traditional trade tt) upcountry contact major stores,7,8479
610 wheel truck drivers in the central region,9,8480
registered sales representative (bangkok romklao),9,8481
special channel salesperson,9,8482
key account executive ( sales modern trade : fmcg ),9,8483
salesperson registered in bangkok,9,8484
marketing executive ( fmcg ),9,8485
provincial delivery driver (very urgent),9,8486
sales inspector (check bill and gps),6,8487
southern region driver multirate (urgent),9,8488
bangkok area sales representative,8,8489
finance and investment officer,7,8490
area credit sales representative (bangkok),9,8491
it supporter,7,8492
asst. it manager & it manager,9,8493
senior organization development (pms),7,8494
party leader,7,8495
marketing secretary,6,8496
marketing officer (take care of products for muslims),6,8497
category analyst,7,8498
"sales staff accepting new graduates, there is a job teaching, base 15,000+com, stop on sat.sun.",7,8499
"office sales income 14,100+com stop sat.sun. near mrt sam yan, bts chong nonsi",6,8500
"'urgent office sales near mrt sam yan base 15,000+com+welfare stop",8,8501
"telemarketing, fresh graduate, near bts nana, income 15,000+com, stop sat.sun.",7,8502
"telemarketing salary 15,000+com bts ploenchit, nana there is a job teaching. sat.sun.",7,8503
"'telemarketing' income 15,000+com+good benefits accepting new graduates near bts nana, ploenchit",7,8504
senior accountant (ap) (forth vending  tao bin),5,8505
transportation support (forth vending  tao bin),6,8506
quality engineer,6,8507
accounting & finance director (public company),5,8508
accounting officer (debtor) accounting officer (ar),6,8509
band apple salesman urgently,8,8510
nakhon si thammarat branch salesperson,7,8511
"human resources officer (recruiting, hiring) very urgent",8,8512
parttime employees at commart thailand at bitec bangna (69 july 2023),7,8513
"computer technician, central rama 9 branch",7,8514
human resources officer (labor relations),6,8515
public relations officer (very urgent),6,8516
sales representative in northeastern region 1 (sale),8,8517
central region sales representative region 1 (sale),8,8518
cost accountant (coffee shop business),9,8519
producer list (urgent),9,8520
assistant photographer,7,8521
webmaster (wordpress),6,8522
product recommendation staff (pc) for women only,9,8523
daily packing staff ladprao 47,9,8524
barista  hario cafe thaniya branch,8,8525
oversea purchase ( junior level ),7,8526
domestic purchasing officer,7,8527
international sales operation executive,7,8528
accounting officer (cost) at head office,7,8529
account executive  aroma shop sukhumvit 33,8,8530
"barista at hario cafe, sukhumvit 33 branch (slow bar)",7,8531
key account executive (modern trade) food gallery,6,8532
electrical draftsman (draftman),7,8533
"manager, human resources department (training) urgently",7,8534
corporate account support,7,8535
it support office staff,6,8536
head of retail,6,8537
babygift brand division manager,8,8538
website division manager,7,8539
assistant font office manager,7,8540
"it support (ten star inn, pratunam area)",6,8541
commis i (benjarong hotel bangkok),6,8542
room maid (benjarong hotel),6,8543
housekeeping supervisor (benjarong hotel),6,8544
accountant (kratum baen),6,8545
sale in bangkok and its vicinity,6,8546
product sales ( it enterprise product ),9,8547
presales engineer (it infrastructure),9,8548
product sales (hpi product),6,8549
online officer (b2b),6,8550
product manager (enterprise & education),7,8551
product manager (it enterprise product),9,8552
product manager ( it products ),9,8553
software administrator,6,8554
"product sales / presales engineer ( tableau, nvidia )",9,8555
product  sales ( f5),9,8556
product sales (h3c),8,8557
product sales (enterprise),8,8558
sr.project engineer (it project),8,8559
brand marketing ( it product ),7,8560
erp system specialist,5,8561
"it helpdesk (lomklao office, ladkrabang)",7,8562
salesperson/salesperson bangkok car unit and travel to other provinces,7,8563
product sales ( 3d printer ),9,8564
product manager (tableau),9,8565
product sales ( product huawei ),9,8566
presales engineer (tableau),9,8567
presales engineer (nvidia),8,8568
sales engineer  si (it product),9,8569
sales manager (dell b2b),9,8570
"sales assistant, bus driver, bangkok and traveling in other provinces",9,8571
marketing manager ( it commercial ),9,8572
business development (smart pet),6,8573
"product sales (brother, fujiflim)",7,8574
product manager (fujiflim,6,8575
business development (smartphone) central region,7,8576
product sales engineer ( iot : internet of things),9,8577
technical manager,7,8578
business development ( sales it project),8,8579
public relation manager,5,8580
presales engineer (enterprise & education),7,8581
system engineer (lat phrao 101),8,8582
estiimate interior cost,5,8583
juristic person officer  employment contract (chineseenglish),8,8584
juristic person officer  employment contract (projects in bangkok and its vicinity),10,8585
recruitinghiring officer,8,8586
finance officer  legal accountant (head office),9,8587
people with disabilities work in various positions.,9,8588
accounting finance department manager (head office),8,8589
"brokerage (on nut, sukhumvit, rama 4, chaengwattana, petchkasem)",8,8590
graphic  designer,9,8591
building staff sam yan project (khao ka ka),8,8592
"administrative officer  finance (lat phrao project, sukhumvit  bang chak)",6,8593
chief building mechanic (project in bangkok),8,8594
legal accounting officer (chaam project),7,8595
"parcel officer (ramkhamhaeng zone, huai khwang, udomsuk, rama 3, charan, ram inthra)",10,8596
administrative officer  contract (projects in bangkok and its vicinity),9,8597
professional development officer,7,8598
corporate strategy specialist,7,8599
service business law department manager,7,8600
techniciancontract (of various projects in bangkok),10,8601
service technician (electrical),9,8602
"apprentice architecture, accounting, administrative, building technician",10,8603
unit sales executive,7,8604
project supervisor  installation,6,8605
project sales executive,6,8606
techniciancontract (pattaya project),9,8607
building assistant (daily),8,8608
inventory supervisor,6,8609
assistant building manager (of various projects in bangkok),9,8610
compensation officer,8,8611
plumber,7,8612
avp of finance & accounting(assistant vice president of accounting and finance ),4,8613
avp of operation (assistant vice president of operations),5,8614
loss prevention officer (rattanathibet branch),6,8615
sales account executive(tele sales),9,8616
product coordinator,8,8617
senior sales representative,6,8618
"supervisor , sterile processing at phyathai 2 hospital",8,8619
"bonchon chicken is recruiting employees. fulltime,parttime at whizdom101 branch",8,8620
qc & tester (system testers),7,8621
billing officer,6,8622
"sales executive, sales marketing",7,8623
"salesperson in front of the store (bang bua thong branch, rawadee, sai 3)",6,8624
dental assistant (paolo kaset hospital),9,8625
information technology center manager,7,8626
service planner,6,8627
programmer staff,8,8628
technician (bangkok),6,8629
drafting staff,7,8630
"translator, bangladesh (phayathai 2 hospital)",4,8631
product development officer (resident at phyathai 2 hospital),6,8632
warehouse staff (bangna km.10 branch),9,8633
technician (phayathai 2 hospital),5,8634
patient transfer staff (phayathai 2 hospital),5,8635
chinese translator (phayathai 2 hospital),6,8636
telephone operator (phayathai 2 hospital),6,8637
maid staff (phayathai 2 hospital),5,8638
executive followup secretary,8,8639
head of finance,6,8640
account executive  ae,8,8641
pattaya branch driver,6,8642
sales manager (used car),8,8643
part time employees contract employees,8,8644
"cook, cook, assistant cook, dishwasher",7,8645
electrical engineer (high voltage substation work),6,8646
"frontend developer  vuejs, reactjs",7,8647
medical equipment sales representative,7,8648
etc drug representative,8,8649
telephone customer service team (claim),7,8650
"sale engineer , sale",9,8651
farm equipment salesman,8,8652
"assembler, production",7,8653
project engineer (high voltage substation work),7,8654
officer at customer relations (phayathai 2 hospital),6,8655
outpatient finance officer (phyathai 2 hospital),9,8656
marketing communication officer (phayathai 2 hospital),6,8657
quality assurance officer (phayathai 2 hospital),6,8658
maintenance technician (movie projector),4,8659
"service technician, technician, maintenance technician, electrician, mechanic",8,8660
human resources officer (phayathai 2 hospital),6,8661
sales representative (phayathai 2 hospital),5,8662
international coordinator (phayathai 2 hospital),6,8663
head of purchasing department (sv),8,8664
"design engineer, price estimator, electrical work system",9,8665
process engineer,8,8666
welding worker,8,8667
engineering manager,7,8668
overseas sales,7,8669
assembly worker,8,8670
payroll staff,7,8671
warehouse manager (fg),9,8672
head of production planning (sv),8,8673
modern trade sales,8,8674
sales executive(up country) : different salespersons,9,8675
assistant graphic designer,7,8676
electrical supervisor (foreman of high voltage power station construction),7,8677
"production leader (production team leader, tl1)",9,8678
service engineer (bangkok and its vicinity),6,8679
service engineer supervisor (cbc) northern region,5,8680
service engineer supervisor (cbc) northeastern region,6,8681
urgent acceptance of car insurance sales agents via telephone (telesales agent) starting 19.jun.'23,7,8682
person,7,8683
warehouse (order picking),6,8684
technical marketing,8,8685
admin (admin),7,8686
telesale car insurance (telephone salesman) start work 19.jun.'23,7,8687
senior sale operation,8,8688
account executive officer,5,8689
chief enameller,6,8690
quality inspection technician,5,8691
sales representative (welcome fresh graduate students),9,8692
jeweler,8,8693
technician installing electrical equipment,9,8694
salesperson plus clean,5,8695
sales coordinator (sales co),6,8696
assembler,8,8697
"printmaker, printmaker",10,8698
jewelery design,9,8699
export sale & marketing manager,8,8700
provincial sales officer,8,8701
"public relations officer (based at master view condo, charoennakorn)",7,8702
tiktok creator,7,8703
operation officer (maid patrol),9,8704
service development officer,7,8705
administrative officer (notting hill condo phaholyothin juristic person),5,8706
ae (chinese speaking) liaison,8,8707
live streaming platform,8,8708
"ae+assistant (2 languages, thaieng) coordinating assignments, recruiting, coordinating, influencer",7,8709
technician (regular at swu. central office building),6,8710
technician bangkapi area,6,8711
sales engineer (building management),6,8712
ae(korean only)+assigned coordinator,7,8713
"writing to sell products content writer, creative content creator, content creation",9,8714
"digital marketing think, plan, do online marketing (pioneer model to enter the mai market)",8,8715
pr officer wha kw (sukhumvit 25),5,8716
head of sales (cleaning business),7,8717
head of recruitment and training (cleaning business),7,8718
divisional support manager,7,8719
administrative and property officer (cleaning business),8,8720
termite management service officer,9,8721
ipm pest management service officer (car),8,8722
exploration worker,6,8723
male quality check officer (qa),8,8724
real estate agency,8,8725
ipm administrative officer,7,8726
pc selling massage chairs for health amaxs  index bangna tel.0652389030 (hr),5,8727
"accountant, home property consulting co.,ltd.",7,8728
"real estate agency, chat, answer chat, make an appointment",8,8729
urgent business development ready to start work immediately,6,8730
"accounts receivable officer (work: ratchada soi 7), income 10k50k, call 0652389030",7,8731
"delivery driver  ratchada soi 7, income 15k+, contact hr, call 0652389030",8,8732
pc selling massage chairs for health amaxs  index ubon ratchathani tel.0652389030 (hr),5,8733
pc selling massage chair for health amaxshome pro phuket (thalang) tel.0652389030 (hr),4,8734
secretary executive,7,8735
customer service. urgent. ready to start work immediately.,7,8736
account manager ready to start working immediately,6,8737
pc selling massage chairs for health amaxs  sb design bangna tel.0652389030 (hr),5,8738
delivery of exercise equipment or electric massager to the delivery qc branch,7,8739
human resources manager experience of not less than 5 years,7,8740
event marketing staff urgent reception,6,8741
pc selling massage chairs for health amaxs  index khon kaen tel.0652389030 (hr),5,8742
pc selling massage chairs for health amaxs  index living mall chonburi tel.0652389030 (hr),5,8743
"pc event sells massage chairs for health, amaxs  pathum wan district tel.0652389030 (hr)",5,8744
graphic designer officer experienced very urgent consideration,6,8745
salesperson (salary + commission) all sectors,7,8746
"technician, repairman",7,8747
pc selling massage chairs for health amaxs  index hua hin tel.0652389030 (hr),5,8748
"printer assistant, printing ink, dry laminate",7,8749
general staff (persons with disabilities),6,8750
maintenance technician electrician,7,8751
electrical engineer (mahachai branch),8,8752
color match staff,6,8753
"salesperson receives the unit, taling chan branch.",10,8754
car sales representative (king kaew branch),10,8755
delivery driver (soi ramintra 109),10,8756
sales manager (urgent!),8,8757
"sales project , sales dealers ( urgent ! )",9,8758
sales  project,8,8759
pc selling massage chairs for health amaxs  index nakhon ratchasima tel.0652389030 (hr),5,8760
pc selling massage chairs for health amaxsindex living mall ratchaphruek tel. 0652389030 (hr),5,8761
pc selling massage chairs for health amaxs  sb design ratchaphruek tel. 0652389030 (hr),5,8762
pc selling massage chairs for health amaxs  central ayutthaya tel. 0652389030 (hr),5,8763
sales manager with at least 1 year experience,5,8764
salesperson (chatuchak),3,8765
react developer,7,8766
rpg programmer: 2 positions  urgently required,7,8767
pc event selling massage chairs for health amaxsratchathewidin daeng tel. 0652389030 (hr),5,8768
pc event selling massage chairs for health amaxskhlong toei district tel. 0652389030 (hr),5,8769
delphi developer,6,8770
etl developer,7,8771
admind,7,8772
assistant manager,6,8773
"technician at ghb head office, rama 9",7,8774
training officer (hrd),6,8775
"maintenance coordinator at the maintenance center of the mrt blue line, rama 9",7,8776
sales administrator office at rama 9,8,8777
"general service staff, ghb head office, rama 9",7,8778
underwriter,8,8779
software development,7,8780
corporate communications manager,7,8781
senior internal auditor,7,8782
motor claims officer,7,8783
technician at the mrt blue line maintenance center,9,8784
compliance manager compliance manager,7,8785
financial officer branch operation department (branch operation),8,8786
marine insurance underwriting officer,7,8787
english policy key officer,8,8788
claim officer,8,8789
property adjuster,7,8790
accident inspector (accepting fresh graduates),8,8791
risk engineer,7,8792
flower arrangement staff,7,8793
draftman(ids),7,8794
interior designer (ids) urgent,7,8795
programmer (ids) express,8,8796
general coordinator  chinese  japanese (coordinator) ids (urgent),8,8797
general technician (ids) urgent,7,8798
"assistant branch manager, fu fu taiwanese shabu shop, shell bang yai branch",9,8799
supervisor at empire tower branch,8,8800
branch manager fu fu shabu,9,8801
assistant branch manager fu fu taiwanese shabu,9,8802
manager of fu fu shabu (rama 4 branch),6,8803
testing engineer (bangkok),7,8804
law officer motor claims department,6,8805
"foreman  house construction, age not over 40 (apply at kwchthaihotmail.com)",6,8806
mazda online car salesperson (online sales),7,8807
"mechanic, mechanic at mazda showroom (ramintra km.2)",7,8808
new car inspector (pdi)  volvo ramintra km.2 (with incentive),6,8809
driving (mazda ramintra km.2)  incentive,6,8810
urgent driver (apply via job and email (kwchthaihotmail.com) only,6,8811
accounting officer  receiving side ( mazda ramintra km.2 center),6,8812
"sales consultant mazdaraminthra (high returns, lots)",9,8813
account  account receivable (mazda ramintra km.2 center),6,8814
personnel officer urgent (able to start work immediately),8,8815
paint and body service center manager (bp volvo hathairat),5,8816
civil supervisor (foreman of highvoltage power station construction),6,8817
aftersales care staff,6,8818
outbound customer service (urgent),8,8819
"technician, very urgent",7,8820
finance & accounting officer,7,8821
import customer service,8,8822
salesperson lotus pinklao,6,8823
women's underwear salesperson at big c bangna,7,8824
women's underwear sales staff at big c ladprao,6,8825
"cctv technician, it technician (suvarnabhumi airport)",8,8826
"construction worker, plumber (ramintra) urgently",7,8827
"electrical engineer, electrician, cctv technician (ramintra)",8,8828
women's underwear sales clerk (organizer),6,8829
"admin, maintenance coordinator (lat krabang  airport)",6,8830
it support programmer developer,7,8831
"air conditioning technician, refrigeration technician (ramintra)",8,8832
"chiller technician, air conditioner technician, refrigeration technician (suvarnabhumi warehouse)",8,8833
human resources interns (foreigners are also welcome),9,8834
industrial engineering (i.e.),7,8835
pay account,4,8836
media sales,7,8837
marketing internship (real estate) (internship student) workplace rama 3,9,8838
production process development officer (process improvement),7,8839
online sales & marketing (online sales and marketing staff),5,8840
sr. it officer (senior it officer),6,8841
salesperson security system  sales smart security business (head office),9,8842
operations support engineer  technical service engineer (1 year contract),6,8843
"operations officer  security engineer (lat phrao, bang khen, min buri, lat krabang)",9,8844
"operations officer  security engineer (don mueang, rangsit, navanakorn, lam luk ka, ayutthaya)",9,8845
quality control section manager,6,8846
submission officer,6,8847
security officer  sentry guard (monthly employee),9,8848
"field engineer, construction supervision engineer",9,8849
sale & marketing intern (marketing and sales intern),9,8850
salesperson diamond jewelry (silom),8,8851
"salesperson  sales representative(eastern bangkok business area, prawet district)",7,8852
group sales representative  key account representative (head office),7,8853
sales support staff  sales support staff (head office),8,8854
operations officer  security engineer (western bangkok business area),9,8855
"operations officer  security engineer (petchkasem, nong khaem, nonthaburi, samut sakhon)",9,8856
"diamond sorter (at the jewelry trade building, silom)",8,8857
security system design engineer  security solution design engineer (head office),7,8858
accounts payable officer  accounts payable (head office),6,8859
purchasing and warehouse staff,8,8860
"general coordination administrative, document printing administrative",9,8861
truck drivers (6 wheels and 10 wheels) deliver goods,7,8862
diamond sales (silom office),9,8863
hrd officer,7,8864
ap (area promoter),7,8865
it recruiter ( it recruiter),8,8866
auction business,7,8867
personal administration,7,8868
international sales manager,8,8869
backhoe driver,7,8870
chief builder,6,8871
personnel manager,7,8872
pattern officer,7,8873
manager of engineering and maintenance department,7,8874
head of administrative unit,5,8875
foreign sales officer,7,8876
"purchasing manager : strategic sourcing & oem, theparak branch",6,8877
administrator at romklao distribution center icd romklao soi 25 urgent,7,8878
"checker at romklao distribution center, icd romklao soi 25",4,8879
event planning officer (unicef thailand) urgently,5,8880
event planner (unicef thailand) urgent,5,8881
project public relations officer (unicef thailand) urgently,6,8882
fundraising and public relations officer (unicef thailand) urgently,6,8883
sales and marketing executive (unicef thailand),7,8884
recruitment and onboarding consultant (unicef thailand),7,8885
hospital product sales representative microbiology,9,8886
"equipment sales representative, air purification equipment pm.2.5, covid 19, carcinogens",9,8887
"sales representative, pollution control products group (vapour and chemical fumes)",8,8888
"food chemical product sales representative protein, lipid and nir analyzers",9,8889
laboratory calibrator isoiec 17025,9,8890
product specialist spectrophotometer products master's degree or bachelor's degree,8,8891
"office administrator, stock department, 1 position, very urgent",7,8892
sales and marketing executive (unicef thailand) urgently,6,8893
"sales representative for microbiological products (autoclave, biosafety, incubator, etc) in bangkok",9,8894
"service technician, graduated in electronics electrical engineering or related fields",9,8895
fundraising manager (unicef thailand),7,8896
fundraising and public relations staff (unicef thailand) urgently,6,8897
nurse,7,8898
head of finance and pharmaceuticals,6,8899
head of medical records,6,8900
"programming (.net , c#)",7,8901
clinic staff (ratchathewi clinic) ploenchit branch,7,8902
physiotherapist at ratchathewi clinic pinklao branch,6,8903
clinic staff (ratchathewi clinic) silom branch,6,8904
fundraising team leader,6,8905
"sales engineer petrochemical,oil &gas)",7,8906
accounting manager (accounting manager),7,8907
technician (production technician),9,8908
factory mechanic (based at bang chan factory),8,8909
welfare worker,6,8910
assistant manager of saboten japanese restaurant (central world branch),7,8911
staff of training department,4,8912
programmer (bangchan factory),9,8913
"cook, chef, cook (regular at central world branch)",7,8914
driver (office staff),8,8915
technician (sanitary system),7,8916
computer operator (bang chan factory),9,8917
sales coordinator (thung khru branch),7,8918
courier (head office),6,8919
